S/No	SWCRDBFMN	Project	Version	Station	LightBox	Fixture	LightPanel	Date	Time	S_BL	S_BR	S_CT	S_TL	S_TR	Shd	DKC	Wa_BL	Wa_BR	Wa_CT	Wa_TL	Wa_TR	Dfa_BL	Dfa_BR	Dfa_CT	Dfa_TL	Dfa_TR	Wb_BL	Wb_BR	Wb_CT	Wb_TL	Wb_TR	Dfb_BL	Dfb_BR	Dfb_CT	Dfb_TL	Dfb_TR	CR_H	CR_S	CR_L	CG_H	CG_S	CG_L	CB_H	CB_S	CB_L	R_TL	R_TR	R_CT	R_BL	R_BR	De1	De2	R_CTST	DZ1	DZ2	WZ1	WZ2	WZ1S	WZ2S	DC	WL	DV	BZ1	BZ2	WZ1	WZ2	WZ1S	WZ2S	BC	WL	BV	NO_MEANS	NO_STANDARD	BLEM	X_val	Y_val	dpc_stdev	dpc_max	dpc_min	nFit	peak	ripple	sigma	mean	amp	StdDevRed	StdDevGreen	StdDevBlue	StdDevRGB	CycleTime_S	
DCVPC01CL5T3K1	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:10:03	153.30	170.78	188.80	162.59	179.81	81.20	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.17	74.31	75.77	73.04	74.76	1.00	1.72	2.68	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	170.591146	0.000000	0	1280	1024	24.267	220	105	39	180	0.150	22.427	181.547	4833.759	389.383	300.381	490.756	1180.520	9	
DCVPC01CL5T3GP	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:10:19	157.66	157.78	188.23	168.28	174.21	83.76	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.49	74.17	75.34	70.23	73.18	1.18	3.93	2.54	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	153.736979	0.000000	0	1280	1024	23.079	216	107	39	176	0.193	24.831	179.058	4745.436	558.081	426.533	670.277	1654.891	9	
DCVPC01CL5T3JV	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:10:39	172.34	164.39	194.56	179.90	175.38	84.50	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.24	71.97	74.78	73.99	70.52	0.54	3.72	2.49	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.846354	0.000000	0	1280	1024	23.112	218	104	39	180	0.166	26.124	180.791	4769.306	386.741	295.883	491.725	1174.348	9	
DCVPC01CL5T3JQ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:10:57	162.50	172.61	194.92	171.65	185.94	83.37	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.33	74.09	76.82	72.40	73.71	2.74	1.69	2.70	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	173.140625	0.000000	0	1280	1024	23.058	219	105	39	180	0.178	21.505	180.298	5011.198	373.586	281.198	480.400	1135.184	9	
DCVPC01CL5T3GU	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:11:14	164.12	159.08	188.35	167.93	165.35	84.46	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.49	71.95	75.73	72.91	71.88	2.24	1.60	2.70	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	153.751302	0.000000	0	1280	1024	22.922	218	99	39	176	0.155	24.545	179.543	4823.752	553.630	429.825	678.994	1662.448	8	
DCVPC01CL5T3JK	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:11:30	172.42	161.60	192.42	177.12	169.26	83.98	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.09	71.08	73.41	74.37	68.65	-0.96	5.72	2.61	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.286458	0.000000	0	1280	1024	23.313	218	100	39	180	0.183	22.461	178.980	4900.922	382.009	290.050	476.548	1148.608	8	
DCVPC01CL5T3JF	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:11:46	173.42	157.39	192.51	182.68	169.78	81.76	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.63	73.54	75.86	73.75	70.56	1.22	4.07	2.66	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	161.899740	0.000000	0	1280	1024	23.594	218	98	39	177	0.167	26.857	179.816	4708.953	388.569	305.248	507.433	1201.250	9	
DCVPC01CL5T3JA	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:12:02	173.10	161.48	196.78	184.91	174.27	82.06	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.23	72.21	75.83	74.49	70.34	1.34	4.15	2.71	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	165.260417	0.000000	0	1280	1024	23.619	222	101	28	212	0.682	7.263	202.462	5609.268	402.395	303.745	501.100	1207.241	9	
DCVPC01CL5T3J4	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:12:19	170.94	155.90	193.51	181.28	170.90	80.56	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.80	73.36	76.57	73.75	71.04	2.77	2.76	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	152.703125	0.000000	0	1280	1024	24.377	221	103	39	182	0.177	21.449	180.154	4812.170	406.561	308.341	503.086	1217.987	9	
DCVPC01CL5T3IZ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:12:36	176.73	166.26	194.74	177.46	169.86	85.37	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.23	71.37	76.65	72.69	69.55	3.43	3.68	2.73	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	168.691406	0.000000	0	1280	1024	23.650	218	99	25	212	0.675	6.408	201.435	5708.465	390.797	296.037	489.850	1176.684	8	
