S/No	FFDD	Date	Time	Version	Station	Fixture	PC	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	CycleTime	
DDPJB01855TD3Z	OOOOOO	20131210	00:21:00	2012.10.22	000	000	000	2	1001	1001	-31.12	-31.96	87.92	75.57	14	
DDPJB01855TD5O	OOOOOO	20131210	00:21:15	2012.10.22	000	000	000	2	1001	1001	-34.12	-26.85	46.52	111.58	14	
DDPJB01855TD44	OOOOOO	20131210	00:21:31	2012.10.22	000	000	000	2	1001	1001	-34.47	-26.89	62.07	117.16	6	
DDPJB01855TCRL	OOOOOO	20131210	00:21:41	2012.10.22	000	000	000	2	1001	1001	-34.55	-26.94	63.35	147.19	7	
DDPJB01855TD5C	OOOOOO	20131210	00:21:49	2012.10.22	000	000	000	2	1001	1001	-34.50	-27.02	64.30	143.56	7	
DDPJB01855TD5H	OOOOOO	20131210	00:22:00	2012.10.22	000	000	000	2	1001	1001	-34.63	-26.88	53.65	130.91	7	
DDPJB01855TD4J	OOOOOO	20131210	00:22:09	2012.10.22	000	000	000	2	1001	1001	-33.48	-34.04	44.05	47.95	13	
DDPJB01855TD4A	OOOOOO	20131210	00:22:25	2012.10.22	000	000	000	2	1001	1001	-33.53	-34.02	67.97	67.27	7	
DDPJB01855TCRR	OOOOOO	20131210	00:22:34	2012.10.22	000	000	000	2	1001	1001	-33.61	-33.81	74.93	57.69	8	
DDPJB01855TCRX	OOOOXO	20131210	00:22:43	2012.10.22	000	000	000	2	1001	1001	-36.95	-31.21	382.30	260.25	15	
DDPJB01855TCRC	OOOOOO	20131210	00:23:00	2012.10.22	000	000	000	2	1001	1001	-34.88	-33.57	70.82	68.61	14	
DDPJB01855TCRX	OOOOOO	20131210	00:23:16	2012.10.22	000	000	000	2	1001	1001	-35.64	-29.10	55.53	102.39	14	
DDPJB01855TD49	OOOOOO	20131210	00:23:32	2012.10.22	000	000	000	2	1001	1001	-36.90	-31.30	62.15	101.64	7	
DDPJB01855TD4E	OOOOOO	20131210	00:23:41	2012.10.22	000	000	000	2	1001	1001	-36.96	-31.40	49.17	74.32	6	
DDPJB01855TD4V	OOXOOO	20131210	00:23:49	2012.10.22	000	000	000	2	1001	1001	-37.33	-31.49	32.88	62.26	6	
DDPJB01855TD4Q	OOOOOO	20131210	00:23:59	2012.10.22	000	000	000	2	1001	1001	-36.91	-31.33	48.40	96.37	7	
DDPJB01855TD4V	OOXOOO	20131210	00:24:08	2012.10.22	000	000	000	2	1001	1001	-37.06	-31.48	46.17	75.71	7	
DDPJB01855TD4V	OOOOOO	20131210	00:24:18	2012.10.22	000	000	000	2	1001	1001	-26.10	-27.08	136.16	118.23	14	
DDPJB01855TCRX	OOOOOO	20131210	00:24:35	2012.10.22	000	000	000	2	1001	1001	-28.14	-29.75	82.07	68.12	7	
DDPJB01855TD3N	OOOOOO	20131210	00:24:49	2012.10.22	000	000	000	2	1001	1001	-32.49	-32.15	93.09	69.65	15	
DDPJB01855TD43	OOOOOO	20131210	00:25:08	2012.10.22	000	000	000	2	1001	1001	-27.50	-26.87	99.37	110.39	15	
DDPJB01855TD5S	OOOOOO	20131210	00:25:24	2012.10.22	000	000	000	2	1001	1001	-33.83	-28.77	221.57	173.89	14	
DDPJB01855TCI9	OOOOOO	20131210	00:25:39	2012.10.22	000	000	000	2	1001	1001	-32.58	-29.02	62.14	92.82	13	
DDPJB01855TD5N	OOOOOO	20131210	00:25:56	2012.10.22	000	000	000	2	1001	1001	-34.73	-29.17	46.39	102.63	14	
DDPJB01855TD4P	OOOOOO	20131210	00:26:11	2012.10.22	000	000	000	2	1001	1001	-28.24	-33.55	117.15	66.19	14	
DDPJB01855TC4B	OOOOOO	20131210	00:27:50	2012.10.22	000	000	000	2	1001	1001	-28.74	-35.38	95.85	57.26	12	
DDPJB01855TC41	OOOOOO	20131210	00:28:04	2012.10.22	000	000	000	2	1001	1001	-30.70	-33.65	96.22	71.60	13	
DDPJB01855TC4L	OOOOOO	20131210	00:28:18	2012.10.22	000	000	000	2	1001	1001	-33.63	-32.30	68.31	75.07	13	
DDPJB01855TC46	OOOOOO	20131210	00:28:32	2012.10.22	000	000	000	2	1001	1001	-28.48	-29.90	87.92	69.30	14	
DDPJB01855TC49	OOOOOO	20131210	00:28:48	2012.10.22	000	000	000	2	1001	1001	-35.80	-36.25	62.45	46.59	16	
DDPJB01855TC4A	OOOOOO	20131210	00:29:05	2012.10.22	000	000	000	2	1001	1001	-33.77	-27.58	60.47	119.71	13	
DDPJB01855TC4E	OOOOOO	20131210	00:29:20	2012.10.22	000	000	000	2	1001	1001	-31.93	-27.63	51.70	90.36	12	
DDPJB01855TC4F	OOOOOO	20131210	00:29:34	2012.10.22	000	000	000	2	1001	1001	-32.68	-31.55	60.36	55.76	14	
DDPJB01855TC4G	OOOOOO	20131210	00:29:49	2012.10.22	000	000	000	2	1001	1001	-32.69	-31.58	118.76	94.55	7	
DDPJB01855TC44	OOOOOO	20131210	00:30:00	2012.10.22	000	000	000	2	1001	1001	-32.83	-31.71	58.81	73.95	7	
DDPJB01855TC45	OOOOOO	20131210	00:30:08	2012.10.22	000	000	000	2	1001	1001	-32.78	-31.72	71.57	83.37	7	
DDPJB01855TC4I	OOOOOO	20131210	00:30:17	2012.10.22	000	000	000	2	1001	1001	-33.08	-31.93	77.48	94.91	7	
DDPJB01855TC4H	OOOOOO	20131210	00:30:25	2012.10.22	000	000	000	2	1001	1001	-33.16	-32.09	58.22	63.36	7	
DDPJB01855TC4C	OOOOOO	20131210	00:30:38	2012.10.22	000	000	000	2	1001	1001	-32.77	-31.64	84.77	88.45	7	
DDPJB01855TCGQ	OOOOOO	20131210	00:30:57	2012.10.22	000	000	000	2	1001	1001	-34.55	-28.91	50.11	91.09	19	
DDPJB01855TCGO	OOXXOO	20131210	00:31:18	2012.10.22	000	000	000	2	1001	1001	-29.21	-29.28	101.54	77.28	13	
DDPJB01855TCGS	OOOOOO	20131210	00:31:32	2012.10.22	000	000	000	2	1001	1001	-27.20	-33.78	91.07	54.31	16	
DDPJB01855TCGO	OOOOOO	20131210	00:31:49	2012.10.22	000	000	000	2	1001	1001	-26.41	-31.08	155.97	100.74	14	
DDPJB01855TCGQ	OOOOOO	20131210	00:32:08	2012.10.22	000	000	000	2	1001	1001	-33.56	-28.48	62.67	106.41	10	
DDPJB01855TC4K	OOOOOO	20131210	00:32:21	2012.10.22	000	000	000	2	1001	1001	-27.65	-31.28	93.61	61.94	14	
DDPJB01855TCGR	OOOOOO	20131210	00:32:37	2012.10.22	000	000	000	2	1001	1001	-30.66	-33.54	80.11	44.66	16	
DDPJB01855TD4R	OOOOOO	20131210	00:32:55	2012.10.22	000	000	000	2	1001	1001	-29.49	-33.68	105.08	83.10	11	
DDPJB01855TD56	OOOOOO	20131210	00:33:09	2012.10.22	000	000	000	2	1001	1001	-29.58	-33.73	82.72	50.83	7	
DDPJB01855TD9G	OOOOOO	20131210	00:33:18	2012.10.22	000	000	000	2	1001	1001	-29.56	-31.94	70.75	69.96	6	
DDPJB01855TD51	OOOOOO	20131210	00:33:28	2012.10.22	000	000	000	2	1001	1001	-29.55	-32.16	95.61	77.82	6	
DDPJB01855TD9B	OOOOOO	20131210	00:33:36	2012.10.22	000	000	000	2	1001	1001	-29.42	-32.01	73.55	73.60	6	
DDPJB01855TCSB	OOOOOO	20131210	00:33:45	2012.10.22	000	000	000	2	1001	1001	-29.60	-32.26	141.70	159.21	6	
DDPJB01855TCFA	OOOOOO	20131210	00:33:53	2012.10.22	000	000	000	2	1001	1001	-29.67	-32.18	116.79	83.13	7	
DDPJB01855TCH7	OOOOOO	20131210	00:34:01	2012.10.22	000	000	000	2	1001	1001	-29.70	-32.05	104.42	83.01	7	
DDPJB01855TD9L	OOOOOO	20131210	00:34:09	2012.10.22	000	000	000	2	1001	1001	-28.69	-29.45	102.01	96.73	13	
DDPJB01855TD4F	OOOOOO	20131210	00:34:24	2012.10.22	000	000	000	2	1001	1001	-28.69	-29.15	119.97	112.50	6	
DDPJB01855TD4K	OOOOOO	20131210	00:34:32	2012.10.22	000	000	000	2	1001	1001	-28.85	-29.46	86.04	76.46	5	
DDPJB01855TD4U	OOOOOO	20131210	00:34:39	2012.10.22	000	000	000	2	1001	1001	-29.11	-28.80	110.45	115.05	14	
DDPJB01855TD50	OOOOOO	20131210	00:34:55	2012.10.22	000	000	000	2	1001	1001	-30.09	-30.91	83.20	111.87	16	
DDPJB01855TBTU	OOOOOO	20131210	00:36:20	2012.10.22	000	000	000	2	1001	1001	-28.58	-29.83	101.86	96.28	11	
DDPJB01855TBU1	OOOOOO	20131210	00:36:32	2012.10.22	000	000	000	2	1001	1001	-29.16	-29.94	100.45	92.54	7	
DDPJB01855TBUX	OOOOOO	20131210	00:36:50	2012.10.22	000	000	000	2	1001	1001	-34.06	-27.58	56.90	102.72	13	
DDPJB01855TBUG	OOOXOO	20131210	00:37:05	2012.10.22	000	000	000	2	1001	1001	-28.38	-37.80	102.82	58.58	13	
DDPJB01855TBU0	OOOOOO	20131210	00:37:20	2012.10.22	000	000	000	2	1001	1001	-26.72	-26.16	128.84	132.17	13	
DDPJB01855TBUG	OOOOOO	20131210	00:37:35	2012.10.22	000	000	000	2	1001	1001	-24.42	-25.83	165.61	155.92	15	
DDPJB01855TBTP	OOOXOO	20131210	00:37:52	2012.10.22	000	000	000	2	1001	1001	-28.97	-37.06	95.52	76.02	7	
DDPJB01855TBTJ	OOOOOO	20131210	00:38:00	2012.10.22	000	000	000	2	1001	1001	-33.46	-26.99	60.61	115.95	13	
DDPJB01855TBUG	OOOOOO	20131210	00:38:14	2012.10.22	000	000	000	2	1001	1001	-23.34	-33.31	96.23	65.62	14	
DDPJB01855TBU6	OOOXOO	20131210	00:38:31	2012.10.22	000	000	000	2	1001	1001	-28.60	-37.39	80.80	94.51	7	
DDPJB01855TBTE	OOOOOO	20131210	00:38:40	2012.10.22	000	000	000	2	1001	1001	-24.70	-32.22	196.18	71.04	14	
DDPJB01855TBUG	OOOOOO	20131210	00:38:55	2012.10.22	000	000	000	2	1001	1001	-29.83	-35.49	91.11	39.39	7	
DDPJB01855TBT9	OOOOOO	20131210	00:39:05	2012.10.22	000	000	000	2	1001	1001	-29.90	-35.78	106.94	50.28	7	
DDPJB01855TBT3	OOOOOO	20131210	00:39:14	2012.10.22	000	000	000	2	1001	1001	-29.93	-35.58	78.34	40.54	6	
DDPJB01855TBSN	OOOOOO	20131210	00:39:22	2012.10.22	000	000	000	2	1001	1001	-31.69	-23.56	90.33	195.76	12	
